id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|luxus_minoseg_pont|kert_kulso_pont|parkolas_garage_pont|terulet_meret_pont|komfort_extra_pont|allapot_felujitas_pont|lokacio_kornyezet_pont|futes_energia_pont|negativ_tenyezok_pont|van_luxus_kifejezés|van_kert_terulet|van_garage_parkolas|van_komfort_extra|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont
123|Budaörs, Pest megye||92 M Ft||93 m2|989 247 Ft / m2||1950 és 1980 között||közepes állapotú|vegyes tüzelésű kazán|||ingatlaniroda|2|"Otthon a nyugalom és a kényelem találkozásánál – Budaörs szívében

Fedezze fel ezt a 93 m²-es családi házat, amely Budaörs központi, mégis csendes részén várja új tulajdonosát. A tágas 550 m²-es telek és a barátságos környezet ideális választás családoknak vagy akár befektetőknek is.

A ház elrendezése:

Nappali: 22,5 m² – a családi élet központja
2 kényelmes hálószoba (18 m² és 11,6 m²)
Világos konyha-étkező + kamra
Fürdőszoba 6,4 m²
Erkély panorámás kilátással (5 m²)
Tágas pince (22,5 m²)

Miért különleges?

Csendes, mégis központi elhelyezkedés – minden könnyen elérhető
Panorámás erkély a zöldellő budaörsi tájra
Gazdaságos vegyes fűtés (cirkó) – alacsony rezsiköltség
Átlagos állapot – saját ízlése szerint alakítható
Tehermentes, így azonnal birtokba vehető
Kiváló infrastruktúra:
Gyors a..."|https://ingatlan.com/34924643|550 m2||||||||||||||||||||3.0|15.0|0.0|16.0|0.0|4.0|9.0|1.2|-1.5|1|1|0|0|1|48.2|1.5|46.7
124|Budaörs, Kertváros - Ganztelep||177 M Ft||154 m2|1 149 350 Ft / m2|||||hőszivattyú, padlófűtés||udvari beálló - megvásárolható|ingatlaniroda|9|"Budaörs Ganz részén kiváló lokáció, az új 3 % os hitelnek is megfelelő!!
Ajánlom ezt a 154nm és 3 szintes ikerhaz felet
Pince szinten kialakításra került : dolgozó szoba , mosó konyha
Fsz - en kiállításra került: amerikai konyhás nappali 40nm, eloszoba, fürdő, háló
Em -en található :3 nagy háló erkéllyel, Furdoszoba, gardrob
Tártozik hozza kicsi kert, 1 gk nak udvari beálló .
Vételár műszaki tartalma (jelenleg 95% készültség):
• vasbeton sávalap, vasbeton födémek
• 30 cm tégla falazat, +15 cm homlokzati EPS100 hőszigetelés (lábazatnál 10cm XPS), nemesvakolat
• új műanyag nyílászárók, 2 rétegű üvegezéssel,
új belso ajtók és biztonsági külső ajtó
• faszerkezetű magastető, új Leier cserepezéssel, alumínium bádogozással, ereszekkel
• közművek: villany, víz, csatorna (gáz még van, de megszüntet..."|https://ingatlan.com/34909660|120 m2||||||||||||||||||||0.0|5.0|0.0|12.0|0.0|8.0|0.0|2.4|0.0|0|1|0|0|0|27.4|0.0|27.4
125|Budaörs, Pest megye||399 M Ft||250 m2|1 596 000 Ft / m2||2022||újszerű|hőszivattyú||teremgarázs hely - benne van az árban|ingatlaniroda|11||https://ingatlan.com/34736297|250 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0.0|0.0|0.0
126|Budaörs, Naphegy||385,50 M Ft||264 m2|1 460 227 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|15|"Fedezze fel álmai otthonát Budaörs legszebb részén!

Eladó tágas, háromszintes 5 szobás családi ház Budaörsön!

Telek mérete: 538 m²
Lakótér: nettó 263 m²
Szobák száma: 4+nappali
Garázs: 3 állásos + 2 kocsibeálló

Budaörs egyik csendes, mégis jól megközelíthető részén eladó egy háromszintes, tágas családi ház. Az ingatlan kiváló állapotú, jól karbantartott, világos terek jellemzik, így tökéletes választás nagycsaládosok vagy több generáció számára is.

Helyiségek elosztása:

Földszint: előszoba, dolgozószoba, külön WC kézmosóval, tágas nappali, konyha-étkező, kamra

Emelet: három hálószoba, gardrób, tároló, fürdőszoba

Szuterén szint: háromállásos garázs, konditerem, WC kézmosóval

A házhoz két erkély és egy nagy terasz is tartozik.
A kert gondozott és kiváló lehetőséget biztosít pihenésre..."|https://ingatlan.com/34650042|264 m2||||||||||||||||||||0.0|10.0|10.0|32.0|0.0|0.0|6.0|0.0|0.0|0|1|1|0|0|58.0|0.0|58.0
127|Budaörs, Budaörsi Kamaraerdő||99,90 M Ft||80 m2|1 248 750 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán|||ingatlaniroda|29|"Természetközeli családi ház Budaörs Kamaraerdőn, hatalmas telken!

Eladó egy világos, jó elosztású családi ház Budaörs zöldövezetében, Kamaraerdőn, 1650 m²-es telken, két utcáról is megközelíthetően. A nyugodt környezet és a kiváló közlekedés – buszmegálló 3-4 perc, metró 10-15 perc – ideális választássá teszi családok számára.

A 3 tágas, napfényes szoba és a két fürdőszoba kényelmes életteret kínál. A ház jó állapotú, szigetelt (10 cm), gáz(cirkó) fűtéses, klímával felszerelt, alacsony rezsijű. A padlófűtés a fürdőszobákban, radiátor a szobákban biztosít kellemes hőérzetet.

A déli tájolású, 35 m²-es terasz, valamint a tetőterasz lélegzetelállító panorámát kínál a budaörsi hegyekre. A telken található egy külön bejáratú, 25 m²-es kis ház is fürdővel és sütögetőterasszal.

A kert gyümölcs..."|https://ingatlan.com/34835764|1650 m2||||||||||||||||||||0.0|17.5|0.0|8.0|2.5|0.0|12.0|3.5999999999999996|0.0|0|1|0|1|0|43.6|0.0|43.6
128|Budaörs, Pest megye||137 M Ft||129 m2|1 062 015 Ft / m2||1950 előtt||felújított|hőszivattyú|||ingatlaniroda|29|"!!!Egyedi hangulatú otthon a Kőhegy lábánál felújítva, korszerűen, különleges kisugárzással ELADÓ!!!

Budaörs egyik legszebb, legkülönlegesebb részén, közvetlenül a Kőhegy mellett, eladó ez a szerethető, barátságos, mégis igazán exkluzív, egyedi hangulatú családi ház.

Az épület 1870-ben épült, de az elmúlt években teljes körű felújításon és korszerűsítésen esett át, így minden részlete a mai igényekhez igazodik, miközben megőrizte eredeti karakterét.

A ház belső kétszintes, összesen 129 nm és okosan kialakított elrendezése egyedülálló térélményt nyújt:
Az alsó szinten találhatóak a hálószobák, ahol padlófűtés és mennyezeti hűtés-fűtés gondoskodik a kellemes klímáról.
A felső szinten kapott helyet a világos nappali és a modern konyha, ahol padló- és fal hűtés / fűtés biztosítja a kényelme..."|https://ingatlan.com/34833995|175 m2||||||||||||||||||||15.0|7.5|0.0|4.0|2.5|6.0|1.5|0.0|0.0|1|1|0|1|0|36.5|0.0|36.5
129|Budaörs, Kertváros - Ganztelep||385,50 M Ft||300 m2|1 285 000 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|28|"Megvételre ajánlok Budaörs kertvárosi környezetében, csendes forgalomtól mentes utcájában, 260nm hasznos alapterület + 50nm garázs (3 állásos) családi házat.

Néhány fontosabb információ az ingatlanról:
- Infrastrukturális ellátottsága kiváló
- Porotherm 38' as falazattal épült Terranova hőszigetelő rendszerrel
- Nyílászárói műanyag hőszigeteltek, alu redőnnyel és szúnyoghálóval szereltek
- Fűtéséről Thermro Max gázkazán gondoskodik meleg-víztárolóval
- Kertje rendezett, folyamatosan karbantartott, öntözőrendszerel telepített

Megtekintéssel és további információval kapcsolatban keressen bizalommal!"|https://ingatlan.com/34894574|300 m2||||||||||||||||||||0.0|7.5|4.0|6.0|0.0|0.0|3.0|2.4|0.0|0|1|1|0|0|22.9|0.0|22.9
130|Budaörs, Kertváros - Ganztelep||299,90 M Ft||150 m2|1 999 333 Ft / m2|3 + 1 fél|1981 és 2000 között||közepes állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|7|"XI. kerület határától néhány száz méterre, Budaörs legelegánsabb részén, a Farkasréti út egyik mellékutcájában, kialakult, rendezett lakókörnyezetben, délnyugati tájolású, 1188 nm–es, növényekkel gazdagon beültetett telken, két szinten, 150 nm összalapterületű (BŐVÍTHETŐ), nappali + 3 – 4 hálószobás családi ház, 2 autó tárolására alkalmas, önálló garázzsal eladó!

Az ingatlan környezetét tekintve, szinte a XII. – XI. kerület hegyvidéki részének szerves folytatásaként használható, egyszerre kertvárosi és csendes, mégis jó tömegközlekedéssel és infrastruktúrával ellátott területen található. A környéken több Általános Iskola, Óvoda, gyógyszertár, valamint magas minőséget képviselő éttermek és cukrászdák is találhatóak, az M7/M1 autópálya budaörsi bevezető szakaszán lévő bevásárlóközpontok me..."|https://ingatlan.com/34714643|1188 m2||||||||||||||||||||3.0|5.0|6.0|4.0|0.0|0.0|7.5|0.0|0.0|1|1|1|0|0|25.5|0.0|25.5
131|Budaörs, Budaörsi Kamaraerdő||285 M Ft||285 m2|1 000 000 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|22|Budaörs Kamaraerdőn eladó ez a 285 nm-es mediterrán hangulatú családi ház, mesés gondozott 902 nm-es kerttel, ahol csodás ősfák adják a kert igazán különleges hangulatát.A 2000-ben épült ház két külön álló lakrészből áll, de kialakítható egy harmadik lakrész is. Kellemes nagy belső terekkel rendelkezik, mind a földszinti mind az emeleti lakrész.A földszinten a komfort érzetet növeli egy 10 nm-es wellness részleg szaunával és egy 38nm-es szabadidő szobával. Az emeleti részt a rusztikus és mediterrán ízlésvilág találkozása teszi hangulatossá. A konyha az olasz beépített rusztikus stílust tükrözi, ahonnan egy 20 nm-es terasz nyílik, lehetőséget adva a nyári esték családi összejövetelére, melynek a csendes nyugalmat árasztó kert adja a tökéletes hangulatot.Az emeleti részen három kényelmes mér...|https://ingatlan.com/34586637|285 m2|B|||||||||||||||||||3.0|10.0|0.0|2.0|2.5|0.0|6.0|0.0|0.0|1|1|0|1|0|23.5|0.0|23.5
132|Budaörs, Budaörsi Kamaraerdő||359 M Ft||360 m2|997 222 Ft / m2||2001 és 2010 között||újszerű|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|24|"LUXUS CSALÁDI HÁZ ÖRÖKPANORÁMÁVAL
Budaörs elegáns családi házas övezetében 330 nm-es, full panorámás, N+6 szobás, luxuskategóriás duplagarázsos családi ház 359 M Ft-ért eladó
A BEJÁRATI SZINTEN hatalmas nappali amerikai konyhával, panorámasarokkal ( 6m belmagasság ) és egy csodálatos erkéllyel, ahonnan a Budai- hegyek, Budaörs és Budapest látványa csodálatos élményt nyújt.
ÜVEGPADLÓN keresztül betekinthetünk az ALSÓ SZINTRE, ahol a wellness részleg és egy önálló lakás található. A neves lakberendező által újraálmodott ingatlan tökéletes funkciókkal rendelkezik. Így a kikapcsolódást az alsó szinten tökéletesen élvezhetjük a nagy nyílászárókon keresztül érzékelhető természeti környezet segítségével.
Jakuzzi, konditerem, szauna, egy tágas tároló és egy tökéletes kis garzon teraszkapcsolattal ..."|https://ingatlan.com/34853470|360 m2||||||||||||||||||||9.0|7.5|2.0|12.0|7.5|4.0|4.5|0.0|0.0|1|1|1|1|0|46.5|0.0|46.5
133|Budaörs, Muskátli utca||164,90 M Ft||164 m2|1 005 487 Ft / m2||||jó állapotú|gázkazán||udvari beálló - benne van az árban|ingatlaniroda|22|"FIGYELEM!
ALKALMI VÉTEL!
EGYEDÜLÁLLÓ LEHETŐSÉG!
RÁNY ÁR: 164,9 MILLIÓ!


Természetközeli, gyönyörű környezetben, Budaörs egyik legszebb részén, egy csodás, többgenerációs családi ház, medencével várja új lakóit!

Budaörsön a közkedvelt Ürgésdűlő városrészen kínálok megvételére egy hanglatos, alig húsz éve épült, háromszintes, többgenerációs, panorámás, nettó 164 nm - es, hatszobás családi házat, egy gyönyörű 487 nm - es telken.

A ház B30 - as téglából épült, amely 10 cm dryvit szigetelést kapott
A nyílászárók műanyagok, elektromos redőnnyel felszerelve.

Az alsószint nettó 58 nm alapterületű, az emelet nettó 63 nm, a tetőtér bruttó 57 nm és nettó 43 nm.

A kapunál két férőhelyes fedett beálló lett kialakítva.
A telken helyet kapott még egy 38 m3 - es, kerengtető rendszerrel ellátott meden..."|https://ingatlan.com/34749596|487 m2||||||||||||||||||||0.0|2.5|2.0|6.0|0.0|2.0|4.5|0.0|0.0|0|1|1|0|0|17.0|0.0|17.0
134|Budaörs, Budaörsi Kamaraerdő||112 M Ft||90 m2|1 244 444 Ft / m2||||befejezetlen|nincs|||ingatlaniroda|10|"ELADÓ SZERKEZETKÉSZ HÁZ, VAGY ÉPÍTÉSI TELEK KAMARAERDŐN !

Eladó egy izgalmas lehetőségekkel rendelkező, vállalkozásra is alkalmas telek Budaörs Kamaraerdőn közvetlenül a kamaraerdei rekreációs övezet szomszédságában, a futópálya és kerékpár út mellett.
A 745nm-es telek összközműves, villany a telken belül, minden közmű közvetlenül a kerités mentén.

Az ingatlanon található egy két szinten 90nm-es, jelenleg nem lakható (szerkezetkész állapotú), de megtartható vagy lebontandó épület, illetve egy garázs.

A telken 111nm-es alapterületű épület épithető az alábbiak szerint (15%-os a beépithetőség).
Lke-5/SZ: A kertvárosias lakóterület építési övezet területén elhelyezhető rendeltetések:

a) lakó,

b) a helyi lakosság ellátását szolgáló kereskedelem-szolgáltatás,

c) hitéleti, nevelési, oktatás..."|https://ingatlan.com/34542130|745 m2||||||||||||||||||||0.0|10.0|2.0|2.0|0.0|0.0|3.0|0.0|0.0|0|1|1|0|0|17.0|0.0|17.0
135|Budaörs, Pest megye||399 M Ft||250 m2|1 596 000 Ft / m2||2022||újszerű|hőszivattyú|||ingatlaniroda|14|"Csend, luxus és természet egy helyen!
Budaörs központjában, mégis a nyugalom szigetén, egy csendes zsákutcában található ez a modern, netto 250 m²-es luxus családi ház, amely minden igényt kielégít. Az ingatlan különlegessége a lenyűgöző örökpanoráma és a hozzá kapcsolódó, 53 m²-es tágas terasz, ahonnan a Budai-hegység páratlan szépségű látványa tárul elénk.

Kiemelt jellemzők:
Feszített víztükrű, sós vizes medence: Az igazi nyári luxusélmény.
Modern szinteltolásos kialakítás: a ház a telek legmagasabb pontjára épült a tökéletes panorámáért.
Három szint: Szuterén, földszint és emelet – minden szinten praktikus és igényes megoldások.
Korszerű gépészet: Bosch hőszivattyús fűtés, légcserélő rendszer, szenzoros csaptelepek, vízlágyító berendezés.
Okosotthon funkciók: Távolról vezérelhető hőmér..."|https://ingatlan.com/34723246|250 m2||||||||||||||||||||18.0|12.5|0.0|2.0|5.0|0.0|3.0|0.0|0.0|1|1|0|1|0|40.5|0.0|40.5
136|Budaörs, Naphegy||330 M Ft||210 m2|1 571 428 Ft / m2|4 + 1 fél|1981 és 2000 között||jó állapotú|||önálló garázs|ingatlaniroda|11|"Kiemelkedő lehetőség!
DUPLA TELKES, erdőszéli, panorámás családi ház eladó Budaörsön!

Csend, nyugalom, napsütés, lenyűgöző kilátás jellemzi ezt az egyedi ingatlant, mégis városközeli és jól megközelíthető.

Az 1990-ben épült ház jó minőségben, kiváló anyagokból készült, biztos alapja egy új otthonnak.
Kényelmes, világos terek jellemzik, hatalmas ablakokkal, melyek a kertbe invitálnak.

A földszinten amerikai konyhás nappali, hálószoba, tágas fürdőszoba és nagy gardrob kapott helyet. Az emeleten 2 nagyméretű szoba és egy fürdőszoba helyezkedik el. A pince szint rengeteg tárolóhelységgel rendelkezik, kialakítható itt pl.házi welness, kondiszoba stb. A fantasztikus hangulatú borospince a társasági összejövetelek kedvelt helyszíne.

A házhoz tartozik még egy kétállásos garázs, megkönnyítve a ..."|https://ingatlan.com/34588735|210 m2||||||||||||||||||||6.0|7.5|4.0|28.0|0.0|2.0|6.0|0.0|0.0|1|1|1|0|0|53.5|0.0|53.5
137|Budaörs, Budaörsi Kamaraerdő||274,90 M Ft||270 m2|1 018 148 Ft / m2|5 + 1 fél|1981 és 2000 között||felújított|gázkazán, hűtő-fűtő klíma||teremgarázs hely - benne van az árban|ingatlaniroda|29|"Kamaraerdő csendes , frekventált jó közlekedésű utcájában, eladó 3 szintes, 5 szobás IGÉNYESEN felújított , minden minőségi elvárást kielégítő 270 m2 területű, 3 autó beállasú mélygarázzsal rendelkező, tágas - 30m2- nappalival, újszerű , teljesen gépesített konyhával, minőségi , ízlésesen bútorozott családi ház!
A teljesen újszerű bútorzat - kivéve az étkező garnitúra -a vételár részét képezi !
A kert : 900 m2, díszkertként jellemezhető, szép és különleges növényekkel, fákkal, melyeket a madárkák is kedvelnek :)

Műszaki leírás :

Az Épületet 1988-1990 között , az akkori építészmérnök tulajdonosa tervezte és felügyelte a minőségi kivitelezését.
Az ingatlan, teljes közműves és tehermentes.
Az utolsó felújítást a tulajdonosok teljeskörűen, 2014-ben végezték el. Az épület dryvit hőszigeteléss..."|https://ingatlan.com/34677706|270 m2||||||||||||||||||||15.0|7.5|2.0|10.0|0.0|10.0|6.0|1.2|0.0|1|1|1|0|0|51.7|0.0|51.7
138|Budaörs, Pest megye||199 M Ft||196 m2|1 015 306 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán|||ingatlaniroda|29|"Kétgenerációs családi ház Budaörs szívében tágas, napfényes otthon gondozott kerttel

Budaörs egyik legjobb részén, kiváló közlekedéssel és infrastruktúrával eladó egy 196 nm-es, kétgenerációs családi ház, amely tökéletes választás nagycsaládosoknak vagy befektetésre is.

Telek: 557 nm rendezett, zöld kert, ahol a kikapcsolódás garantált.

Földszinti lakás: 3 szoba, étkező, konyha, kamra, fürdőszoba.

Emeleti lakás: nappali, konyha, étkező, fürdőszoba, 3 hálószoba + 26 nm-es terasz.

A ház 2017-ben felújításon esett át, modern műanyag nyílászárók és szigetelt tető biztosítják az alacsony fenntartási költségeket.

További extrák:

Légkondicionálás

Garázs

Keleti tájolás

A két lakás teljesen külön bejáratú, így ideális több generáció számára vagy akár kiadásra is. Világos, tágas terek, bar..."|https://ingatlan.com/34881587|557 m2||||||||||||||||||||0.0|12.5|2.0|20.0|2.5|2.0|4.5|1.2|0.0|0|1|1|1|0|44.7|0.0|44.7
139|Budaörs, Naphegy||385,50 M Ft||300 m2|1 285 000 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|28|"Budaörs Naphegy részén eladó egy bruttó 368 m2-es, 3 szintes családi ház.

Az épület egy 530 m2-es telken található, mely 2002-ben épült. A ház három szintjén 5db hálószoba és több funkcionális helyiség található.

A házhoz tartozik egy 3 állású garázs, amely biztonságban tartja autóit és kényelmes megoldást kínál a parkolásra.

A beépített medence biztosítja a kellemes kikapcsolódást a forró nyári napokon, miközben a nagy terasz és a kert remek helyszín a családi és baráti összejövetelekhez.

Az ingatlan belső terei modern dizájnnal rendelkeznek, és kényelmes otthoni környezetet biztosítanak. A konyha teljesen felszerelt, a nappali tágas és világos, ideális hely az egész család számára a közös időtöltésre.

Elhelyezkedése kiváló, egy csendes, biztonságos lakóövezetben található, közel min..."|https://ingatlan.com/34410534|300 m2||||||||||||||||||||3.0|10.0|6.0|16.0|2.5|0.0|6.0|0.0|0.0|1|1|1|1|0|43.5|0.0|43.5
140|Budaörs, Kertváros - Ganztelep||385,50 M Ft||300 m2|1 285 000 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|10|"Modern elegancia, tágas terek – különleges otthon új tulajdonosát keresi
Eladásra kínálunk egy exkluzív, bruttó 368 m²-es családi házat egy 531 m²-es, gondozott telken, amely 2002-ben épült, kimagasló műszaki tartalommal és letisztult, modern kialakítással.
Az ingatlan három szintjén összesen 5 hálószoba, tágas nappali, étkező, teljesen felszerelt konyha, 2 fürdőszoba, 3 WC, 3 gardrób, kamra, szauna, konditerem és gépészeti helyiség található. A helyiségek elrendezése kiválóan átgondolt, így könnyedén személyre szabható az új tulajdonos igényei szerint.
A házhoz tartozik egy háromállásos garázs, valamint egy fűthető felhajtó, amely a téli hónapokban is kényelmes parkolást biztosít.
A nyári hónapokra a beépített, 2x4,5 m-es, 1,2 m mély medence nyújt felfrissülést, a tágas terasz és a gondoz..."|https://ingatlan.com/34843449|300 m2||||||||||||||||||||6.0|7.5|4.0|20.0|5.0|6.0|1.5|0.0|0.0|1|1|1|1|0|50.0|0.0|50.0
141|Budaörs, Zombori utca||185 M Ft||150 m2|1 233 333 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|28|"Ház az erdő szélén!
Meghitt reggelek, napfényben fürdő délutánok - Üdv itthon!
(Ezt az ingatlant kizárólag irodánk kínálatában találja meg!)

Budaörs egyik legkedveltebb részén, Kamaraerdő melletti csendes zsákutcában, 683 m2-es telken kínáljuk eladásra ezt az 1988-ban épült, háromszintes, bruttó 150 nm lakóterülettel + 80 nm szuterén szinttel rendelkező, körbejárható, SZIGETELT, duplakomfortos, tágas terekkel rendelkező 4 szobás, cirkó fűtéses, barátságos családi házat!

A Bramac cseréptetős ház pár évvel ezelőtt 10 cm-es dryvit szigetelést kapott, ami jelentősen csökkenti a rezsi költségeket.

A 80 nm-es földszinten a központi helyiséget a tágas, 34 m²-es, Ny-i fekvésű nappali alkotja, amelyben egy hangulatos, fatüzelésű kemence is kialakításra került. A nappali mellett található az étke..."|https://ingatlan.com/34849437|683 m2||||||||||||||||||||0.0|2.5|0.0|12.0|0.0|0.0|7.5|1.2|0.0|0|1|0|0|0|23.2|0.0|23.2
142|Budaörs, Budaörsi Kamaraerdő||184 M Ft||127 m2|1 448 818 Ft / m2|4 + 1 fél|2013||jó állapotú|gázkazán|||ingatlaniroda|15|"Eladó Budaörsön Kamaraerdőn nettó 110 nm alapterületű, két szintes, modern ikerházi lakás, 370 nm kerttel, remek tömegközlekedéssel.
A háznak nincs közös fala a szomszéddal és egymástól szeparált életet tesz lehetővé.

A ház 2013-ban épült. Csendes, családi házas övezetben, rendezett környéken, a Kismartoni utca közelében található.
Az alsó szinten amerikai konyhás nappali és étkező terasszal, dolgozószoba, kamra, valamint egy fürdőszoba+WC található.
A felső szinten 3 hálószoba, illetve egy nagy fürdőszoba+WC helyezkedik el.
Az alsó terasz 26 nm, fent a 3 szobához kapcsolódva 9 nm erkély tartozik.

Elektronika:
padlófűtés
klíma minden szobában
redőnykiépítés
riasztó előkészítve
elektromos kapu
A zárt udvaron parkolóhelyek vannak kialakítva, ehhez az ingatlanhoz 2 beállóhely tartozik amely..."|https://ingatlan.com/34844283|370 m2||||||||||||||||||||0.0|15.0|2.0|18.0|7.5|0.0|7.5|1.2|0.0|0|1|1|1|0|51.2|0.0|51.2
143|Budaörs, Pest megye||385,50 M Ft||264 m2|1 460 227 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|15|"Eladó családi ház Budaörsön, medencével és tágas terekkel!

Ez a 263,82 m²-es, 5 szobás családi ház egy 538 m²-es telken, Budaörs csendes, zöldövezeti részén kínál kényelmes otthont. Az ingatlan ideális választás családok számára, akik értékelik a tágas, világos tereket és a kényelmet.

Főbb jellemzők:

-5 szoba, 2 fürdőszoba, 2 WC + kézmosó
-Tágas nappali és konyhaszigetes amerikai konyha, tökéletes családi összejövetelekhez
-19,92 m²-es terasz és 2 emeleti erkély a szabadidő élvezetére
-Garázs 3 autó számára


Kényelmi szolgáltatások:
-Fűtés: Gáz cirkó rendszer
-Hűtés: Klímaberendezés
-Medence a nyári pihenéshez és szórakozáshoz
-A ház kiváló állapotban van, és a közlekedési lehetőségek is kedvezőek: a közeli boltok, iskolák és egészségügyi intézmények mindössze pár percnyi távolságra va..."|https://ingatlan.com/34576088|264 m2||||||||||||||||||||0.0|12.5|4.0|14.0|5.0|0.0|10.5|1.2|0.0|0|1|1|1|0|47.2|0.0|47.2
144|Budaörs, Pest megye||137 M Ft||129 m2|1 062 015 Ft / m2||1950 előtt||felújított|hőszivattyú|||ingatlaniroda|28|"!!!Egyedi hangulatú otthon a Kőhegy lábánál felújítva, korszerűen, különleges kisugárzással ELADÓ!!!

Budaörs egyik legszebb, legkülönlegesebb részén, közvetlenül a Kőhegy mellett, eladó ez a szerethető, barátságos, mégis igazán exkluzív, egyedi hangulatú családi ház.

Az épület 1870-ben épült, de az elmúlt években teljes körű felújításon és korszerűsítésen esett át, így minden részlete a mai igényekhez igazodik, miközben megőrizte eredeti karakterét.

A ház belső kétszintes, összesen 129 nm és okosan kialakított elrendezése egyedülálló térélményt nyújt:
Az alsó szinten találhatóak a hálószobák, ahol padlófűtés és mennyezeti hűtés-fűtés gondoskodik a kellemes klímáról.
A felső szinten kapott helyet a világos nappali és a modern konyha, ahol padló- és fal hűtés / fűtés biztosítja a kényelme..."|https://ingatlan.com/34840926|175 m2||||||||||||||||||||15.0|7.5|0.0|4.0|2.5|6.0|1.5|0.0|0.0|1|1|0|1|0|36.5|0.0|36.5
145|Budaörs, Ófalu||99 M Ft||112 m2|883 928 Ft / m2|4 + 1 fél|1950 előtt||felújítandó|gázkazán||udvari beálló - benne van az árban|ingatlaniroda|13|"KIVÁLÓ ELHELYEZKEDÉSŰ FELÚJÍTANDÓ ÉPÜLET


BUDAÖRS ÓVÁROS CENTRUMÁBAN, FELÚJÍTANDÓ VAGY TELJESEN ÁTÉPÍTENDŐ ÉPÜLET!


Budaörsön a Templom téren, utcafrontos üzlettel rendelkező, két utcára nyíló 112 nm-es, 4 és fél szobás üzleti tevékenységre használt épület, 352 nm-es telekkel 99 M Ft-ért eladó!


A rendkívül frekventált elhelyezkedésű épület, ritkaság Budaörs ingatlankínálatában. Befektetési, fejlesztési szempontból is kedvező paraméterekkel rendelkezik. A helyi építési szabályzat szerint a telek 70 %-ban beépíthető, akár kettő épülettömb is megvalósítható. Az épület 3 szintig bővíthető és 500-600 nm körüli nettó lakóterület is tervezhető. Jelenleg helyi védettséget ír elő az önkormányzat, ami azért kérdőjeles. A két utcára nyíló telken elhelyezkedő épülettömb jelenleg is vállalkozások h..."|https://ingatlan.com/34670225|352 m2||||||||||||||||||||0.0|5.0|0.0|2.0|0.0|4.0|0.0|0.0|-3.0|0|1|0|0|1|11.0|3.0|8.0
146|Budaörs, Pest megye||399 M Ft||250 m2|1 596 000 Ft / m2||2022||újszerű|hőszivattyú|||ingatlaniroda|14|"Csend, luxus és természet egy helyen!
Budaörs központjában, mégis a nyugalom szigetén, egy csendes zsákutcában található ez a modern, netto 250 m²-es luxus családi ház, amely minden igényt kielégít. Az ingatlan különlegessége a lenyűgöző örökpanoráma és a hozzá kapcsolódó, 53 m²-es tágas terasz, ahonnan a Budai-hegység páratlan szépségű látványa tárul elénk.

Kiemelt jellemzők:
Feszített víztükrű, sós vizes medence: Az igazi nyári luxusélmény.
Modern szinteltolásos kialakítás: a ház a telek legmagasabb pontjára épült a tökéletes panorámáért.
Három szint: Szuterén, földszint és emelet – minden szinten praktikus és igényes megoldások.
Korszerű gépészet: Bosch hőszivattyús fűtés, légcserélő rendszer, szenzoros csaptelepek, vízlágyító berendezés.
Okosotthon funkciók: Távolról vezérelhető hőmér..."|https://ingatlan.com/34558304|250 m2||||||||||||||||||||18.0|12.5|0.0|2.0|5.0|0.0|3.0|0.0|0.0|1|1|0|1|0|40.5|0.0|40.5
