id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api
108|Budapest XII. kerület, Magasút||258,90 M Ft||180 m2|1 438 333 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán, hűtő-fűtő klíma, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|10|"XII ker Budán -Farkasvölgyben kellemes INTIM KÖRNYEZETBEN, akár ÖSSZEKÖLTÖZŐKNEK is megfelel ELADÓ!!!!
Együtt, de mégis külön 506 nm-es kertben 3 szintes összesen 180 nm szélső sorháza (iker jellegű)KISGYEREKESEKNEK, NAGYSZÜLŐKKEL együtt költözőknek, jól és könnyen megközelíthető helyen eladó.
Az alsó -kert szinten található egy nagy külön bejáratos lakrész, mely jelenleg hobby szoba, itt még fürdőszoba és 1gk-nak és 1 motornak garázs foglal helyet
A nappali szintjén előszoba, nagy nappali nagy erkéllyel, konyha étkezővel és nagy erkéllyel, kamra, wc helyezkedik el.
Em-en: 2 hálószoba nagy erkéllyel, és 1 szülői nagy háló nagy erkéllyel, fürdő került kialakításra
Extrák:
- Kertben MEDENCE, épített GRILLSÜTŐ, +2gk-nak felszíni beálló
- Padlófűtés az egész házban, 3 db hűtő-fűtő klíma
- Napp..."|https://ingatlan.com/34783773|506 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Általános|1.0|Orbánhegy|0.64|enhanced_4step|aggregated_from_1_sources|1|||
109|Budapest XII. kerület, Farkasrét||399 M Ft||294 m2|1 357 142 Ft / m2||1950 és 1980 között||közepes állapotú|gázkazán||önálló garázs|ingatlaniroda|30|Budapest XII. kerületének egyik legbékésebb szegletében, Farkasvölgyben, egy eldugott erdei ösvény végén, csendes zsákutcában bújik meg ez a 4 szintes, 294 m²-es ikerház, mely nemcsak otthonként, hanem jövőbe mutató befektetésként is kivételes lehetőség.A 1073 m²-es, mesebeli kerttel ölelt telek és az impozáns méretű épület tágas terei egyaránt inspirációra csábítanak – akár nagycsaládosként, akár beruházóként álmodnál újra egy ekkora potenciált rejtő ingatlant.Főbb jellemzők:7 szoba + nappali + konyha3 fürdőszoba, gardrób, pinceMárványpadló minden szintenTeraszok, tágas kilátás a zöldreGarázs + külön fedett autóbeállóAz ingatlan jelenleg lakható állapotú, de esztétikai felújítással valódi kincsé válhat. A kert gyönyörű és vadregényes: bambusz, fügefák, dús növényzet minden irányban – mint...|https://ingatlan.com/34781760|294 m2|C|||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|XII. ker. Budai hegyek - Villa negyed|1.4|Krisztinaváros|0.76|enhanced_4step|aggregated_from_1_sources|1|||
110|Budapest XII. kerület, Farkasvölgy||275 M Ft||250 m2|1 100 000 Ft / m2|||||hőszivattyú|||ingatlaniroda|19|"Ez az egyedülálló, a város zajától távol eső, csendes, elvehetetlen panorámás ház Önre vár!

Gyönyörű zöld környezetben, a 680 négyzetméteres telken eladó ikerház páratlan adottságokkal, hatalmas terekkel, gyönyörű panorámával.
A lakótér három szinten alakítható ki, és a szuterén is teljes értékű szintként definiálható. A ház méretei 250 nm, felújítás kezdeti stádiumában lévő, lényegében szerkezetkész.
A ház eredeti formája lehetővé teszi, hogy a mai kor igényeinek megfelelő, letisztult, minimál stílusú ház legyen a felújítási folyamat végén, mely így, a környéket és az adottságokat is figyelembe véve luxus ingatlanná válhat. Tágas terek: Három lakószint + kiszolgáló szint, amely könnyedén két különálló lakássá is alakítható.

A házhoz kiviteli tervek, belsőépítészeti tervek is készültek.
..."|https://ingatlan.com/34639637|250 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|3.2|0.0|0.0|0|0|0|1|0|1|0|0|10.8|0.0|10.8|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
111|Budapest XII. kerület, Borbála lépcső||469 M Ft||282 m2|1 663 120 Ft / m2||1950 és 1980 között||jó állapotú|gázkazán|||ingatlaniroda|25|"Eladó különleges családi ház Budán, örök panorámával és természetközeli életérzéssel !

A Budai-hegyek egyik legvarázslatosabb pontján, a XII. kerület zöldövezeti részén, közvetlenül a természetvédelmi terület határán kínálunk megvételre egy egyedülálló hangulatú, többszintes családi házat. Az ingatlan egy eldugott, csendes, forgalomtól mentes utcában található, ahonnan lenyűgöző, elvehetetlen panoráma nyílik az erdős domboldalra. A ház ideális választás mindazok számára, akik egyszerre szeretnének a város közelében élni, mégis a természet ölelésében, teljes nyugalomban.

A napfényes, déli fekvésű épület egy közel 1000 m²-es, vadregényes kerttel körülvett telken található, ahol idős tölgyfák, gondozott zöldfelületek és a környékre jellemző állatvilág – mókusok, sünök, madarak – teszik telj..."|https://ingatlan.com/34905123|282 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
112|Budapest XII. kerület, Törökbálinti út 3.||179,90 M Ft||130 m2|1 383 846 Ft / m2|3 + 1 fél|1950 és 1980 között||felújított|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|22|"Teljeskörű belső felújításon átesett, tágas, kétszintes, ikerházfél Farkasréten – remek közlekedéssel, csak a Keller Williams Alfa kínálatában.
Az 1964-ben épült ház, teljeskörű felújításon esett át belülről. Kicserélték az elektromos- és vízvezetékeket, új radiátorok lettek felszerelve, minden helyiség új burkolatokat és a nyílászárókat kapott – az ingatlan, így korszerű és esztétikus, szinte azonnal költözhető.

A ház elosztása:
A felső szinten, világos, tágas nappaliból közvetlen kijárat nyílik egy 8 m²-es, kellemes méretű erkélyre, amely remek helyszín reggeli kávézáshoz. A konyha előkészítése megtörtént, de befejezése az új tulajdonosra vár, így saját igényei szerint alakíthatja ki. A konyha közvetlen kijárattal rendelkezik a hátsó 12 nm-es teraszra, valamint onnan a kertbe. Ezen a sz..."|https://ingatlan.com/34919278|345 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|0|0|0|0|0|0|1|0|5.0|0.0|5.0|Törökbálint központ|1.0|Ismeretlen|0.0|fallback|none|0|||
113|Budapest XII. kerület, Svábhegy||2,19 Mrd Ft||330 m2|6 646 166 Ft / m2|8 + 3 fél|1950 előtt||közepes állapotú|||teremgarázs hely - benne van az árban|ingatlaniroda|19|"Eladásra kínálom a Svábhegy egyik ikonikus s történelmi múlttal rendelkező kuriózum Villaépületét.

Az ingatlan 3 szintes, az 1900 as években épült, s azóta megannyi korszerűsítésen esett át.

Tartozik ezen felül hozzá egy telken belüli önálló teremgarázs is, amely végében egy külön kertre nyíló lakrész is kialakításra került.

Az ingatlan bemutató videóját a hirdetésben megtalálja.

További villaépületek is rendelkezésre állnak, amelyek Offmarket alapon nem hirdethetőek, további részletekkel keressen bizalommal."|https://ingatlan.com/34090841|330 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.44|enhanced_4step|aggregated_from_2_sources|2|||
114|Budapest XII. kerület, Németvölgy||985 M Ft||365 m2|2 698 630 Ft / m2|5 + 1 fél|2001 és 2010 között||jó állapotú|padlófűtés||teremgarázs hely - benne van az árban|ingatlaniroda|3|"Ritka lehetőséget ajánlok eladásra a XII. és a XI. kerület határán.

Az önálló, vagyis kőrbejárható családi ház közel 1000 nm-es örök panorámás telken található a maga nettó 345 nm-vel.

A házat saját használatra építették 2007-ben olyan alapanyagokból és időtálló megoldásokkal, hogy a mai kor ingatlanjaival szemben is abszolút megállja a helyét mint esztétikailag, s műszakilag egyaránt. Az ingatlanban a természetes alapanyagok dominálnak mint a mészkő, gránit (pl: konyhapult) és javarészt minőségi asztalos munka és fa parketta (LOSTONE G.).

Ezen felül az ingatlanban megannyi top kategóriás alkotóelem találkozhatunk, mint a MIELE konyha, ionizátoros légtisztító, nyílászárók (törés biztosak, alu redőnnyel, valamint utcafronton golyóálló üveggel), DAIKIN hűtés, DURAVIT szaniterek, nagy mére..."|https://ingatlan.com/34802500|365 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|3.2|0.0|0.0|0|0|0|1|0|1|0|0|10.8|0.0|10.8|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|||
115|Budapest XII. kerület, Farkasvölgy||349 M Ft||455 m2|767 032 Ft / m2||1981 és 2000 között||felújítandó|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|16|"Panorámás lehetőség a XII. kerület szívében – fejlesztésre váró ingatlan különleges adottságokkal, zsákutcában!

A Rácz Aladár utca egyik nyugodt mellékutcájában, a kerület egyik legszebb, zöldövezeti részén kínálunk eladásra egy kivételes fekvésű, déli tájolású, teljes felújítást vagy átalakítást igénylő ingatlant, lenyűgöző panorámával és sokoldalú hasznosítási lehetőségekkel.

A 727 m²-es, telken álló épület az utcaszint fölött helyezkedik el, így az intim kert zavartalanul használható, belátás nélkül. A terepadottságokat maximálisan kihasználva az utcafront mentén támfalgarázsok kerültek kialakításra, így akár 6-7 autó is kényelmesen elfér.

Az 1994-ben épült, statikailag kifogástalan állapotú ház korábban panzióként működött, jelenlegi kialakítása ennek megfelelő, de kiváló alapot nyú..."|https://ingatlan.com/34774253|455 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|2.5|0.0|0|0|0|0|0|1|1|0|8.9|0.0|8.9|XII. ker. Farkasrét|1.15|Ismeretlen|0.0|fallback|none|0|||
116|Budapest XII. kerület, Tusnádi utca||917,17 M Ft||550 m2|1 667 583 Ft / m2||1981 és 2000 között||újszerű|hőszivattyú||teremgarázs hely - benne van az árban|ingatlaniroda|17|"Detached House For Use As A Company Headquarters A House Or For Conversion
Nestled within a generous 1001 m2 plot, this detached building spans an impressive five floors, offering unparalleled versatility and potential. The property features underground parking complete with a car elevator, allowing for flexible adjustments to its size by repositioning internal walls. In addition to the underground parking, there’s free off-street parking available for six to seven cars, ensuring ample space for residents and visitors alike.

With a usable area ranging from 500 to 600 m2, depending on the chosen configuration, this property caters to a variety of needs. Modern amenities include a comprehensive heating and cooling system, along with double-glazed windows for enhanced comfort and energy effi..."|https://ingatlan.com/34034506|550 m2||||||||||||||||||||0.0|8.0|0.0|0.0|0.0|0.0|0.0|-4.0|0|1|0|0|0|0|0|1|8.0|4.0|4.0|XII. ker. Orbánhegy|1.25|Ismeretlen|0.0|fallback|none|0|||
117|Budapest XII. kerület, Mártonhegy||315 M Ft||432 m2|729 166 Ft / m2||1950 és 1980 között||közepes állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|22|"Befektetők figyelem!
Haszonélvezeti joggal eladó '40-es években épült kúria a 12. Kerület Mártonhegyi részén!
A patinás, de felújítandó 3 szintes épület áll 166 m2 földszinti, 108 m2 emeleti, 67 m2 alagsori lakótérből és 90 m2 pincéből - mely egy 1540 m2-es gyönyörű sarki telken fekszik.
Az ingatlan bár nem műemlék, de felújítani érdemes. Ettől eltekintve a telekre 4-6 lakásos társasház építhető 2 utcáról történő bejárattal (Lk-2/D-6 övezet).

Amennyiben szeretne többet megtudni az ingatlanról vagy megtekintené, kérem hívjon bizalommal.
Irányár (haszonélvezeti joggal terhelten): 315MFt"|https://ingatlan.com/34057333|432 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XII. ker. Általános|1.0|Virányos|0.68|enhanced_4step|aggregated_from_1_sources|1|||
118|Budapest XII. kerület, Virányos||590 M Ft||145 m2|4 068 965 Ft / m2||1950 és 1980 között||felújítandó|||önálló garázs - benne van az árban|ingatlaniroda|15|"Különleges lehetőség!
XII. Kútvölgy – Virányos találkozásnál, elegáns részen, luxus családi házak környezetében, gyönyörű kilátással rendelkező, magaslaton elhelyezkedő, TÖKÉLETES DÉLI tájolású, 1750 nm + 550 nm (telekhasználati jog) területű telken, felújítandó vagy bontandó családi ház eladó!

A XII. kerület Kútvölgyi részének általánosságban északi tájolású területével szemben, az eladásra kínált ingatlan egész évben napfényben fürdik, a tengerszint felett 320 méteres magasságon való elhelyezkedés biztosítja a mindig friss levegőt, a hegyvidéki és részben városi panorámával együtt.

A környék presztízsét a köztársasági elnöki rezidencia, több nagykövetség, a Deutsche Schule és a patinás hangulatú Zugligeti Általános iskola közelsége is emeli.

Az eladó telekingatlan egyik különlegessége..."|https://ingatlan.com/34804160|2250 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|0|0|1|0|0|0|1|3.8|2.0|1.8|XII. ker. Hegyvidék prémium|1.35|Orbánhegy|0.76|enhanced_4step|aggregated_from_2_sources|2|||
119|Budapest XII. kerület, Farkasvölgy||880 M Ft||375 m2|2 346 666 Ft / m2||2001 és 2010 között||újszerű|hőszivattyú, gázkazán, kandalló||teremgarázs hely - benne van az árban|ingatlaniroda|29|"KIZÁRÓLAG A CITYCARTEL KÍNÁLATÁBAN!

EXKLUZÍV INGATLAN A XII. KERÜLET ZÖLDÖVEZETÉBEN

YBL DÍJAS ÉPÍTÉSZ TERVEZÉSÉBEN KÖRNYEZETBARÁT, PANORÁMÁS PASSZÍVHÁZ

Ez a ház nem csupán egy ingatlan – ez életstílus, minőség és egyediség.
Az exkluzivitás itt nem csupán szó: ritka elhelyezkedés, különleges építészeti megoldások, prémium anyagok és magas szintű kényelem találkozik egyetlen otthonban. A gondosan megtervezett terek, a természet közelsége, a panoráma, a csend és a nyugalom mind azt szolgálják, hogy minden napját igazi élményként élhesse meg.

Budán, a XII. kerület zöldövezetének szívében – Farkashegy határán –, a város zajától távol, nemesi környezetben kínálunk megvételre egy különleges, egyedi tervezésű passzívházat, ahol a minőség, a tér és az életérzés minden négyzetméteren jelen van.
..."|https://ingatlan.com/34788375|375 m2|A+|||||||||||||||||||9.0|0.0|0.0|11.399999999999999|0.0|9.600000000000001|0.0|0.0|1|0|0|1|0|1|0|0|30.0|0.0|30.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
120|Budapest XII. kerület, Kútvölgy||798 M Ft||600 m2|1 330 000 Ft / m2||1981 és 2000 között||jó állapotú||||ingatlaniroda|28|"Gyönyörű, csendes környéken egyben, vagy akár külön-külön 1-1 millió Euroért eladó ikerház Kútvölgyben a 12. kerületben,
a Budapesti Német Iskola - Thomas Mann Gimnázium közvetlen környezetében.
A ház jelenleg ketté van osztva de több szinten is könnyen egybe lehet nyitni.
Az ingatlannak jelenleg csak az egyik feléről vannak belülről képek, mivel a másik része havi 1 millió Forintért ki van adva.
Az ingatlantól nem messze vannak bevásárlási lehtőségek, valamint a 155-ös és a 128-as busz megállói is."|https://ingatlan.com/34854824|600 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
121|Budapest XII. kerület, Svábhegy||1,79 Mrd Ft||400 m2|4 486 162 Ft / m2|7 + 2 fél|1950 előtt||jó állapotú|padlófűtés||teremgarázs hely - benne van az árban|ingatlaniroda|21|"SVÁBHEGYI EXKLUZÍV VILLA !

CITYCARTEL

INTERNATIONAL LUXURY REAL ESTATE AGENCY

bemutatja:



XII. kerület exkluzív, csendes, friss levegőjű, zöldövezeti, svábhegyi részén 2000 nm-es, ősfás parkban található, 1881-ben épült, 2003-ban az eredeti tervrajzok alapján felújított, folyamatosan karbantartott, védett homlokzattal rendelkező különleges, gyönyörű 400 nm-es, 3 szintes, 8 szobás (ebből 5 hálószoba) villa eladó, külön bejáratú épületrésszel!


A nagy belmagasságú (4,6 m) villában fakazettás mennyezetű nappali, ebédlő, hangulatos, boltíves borospince, 6 hálószoba és 4 fürdőszoba + 2 toalett került kialakításra.


A főbejárat szintjén található a 80 nm-es nappali étkezővel (ahonnan a 14 nm-es, panorámás terasz nyílik), a szeparált konyha, a szülői hálószoba saját fürdőszobával, valamint..."|https://ingatlan.com/33416577|400 m2||||||||||||||||||||0.0|4.0|0.0|7.6|0.0|6.4|0.0|0.0|0|1|0|1|0|1|0|0|18.0|0.0|18.0|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.5|enhanced_4step|aggregated_from_2_sources|2|||
122|Budapest XII. kerület, Kútvölgy||399 M Ft||300 m2|1 330 000 Ft / m2||||||||ingatlaniroda|23|"Gyönyörű, csendes környéken egyben 2-, vagy akár külön-külön 1-1 millió Euroért eladó ikerház Kútvölgyben a 12. kerületben,
a Budapesti Német Iskola - Thomas Mann Gimnázium közvetlen környezetében.
A ház jelenleg ketté van osztva de több szinten is könnyen egybe lehet nyitni.
Az ingatlannak jelenleg csak az egyik feléről vannak belülről képek, mivel a másik része havi 1 millió Forintért ki van adva.
Az ingatlantól nem messze vannak bevásárlási lehtőségek, valamint a 155-ös és a 128-as busz megállói is."|https://ingatlan.com/34854891|300 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
123|Budapest XII. kerület, Széchenyihegy||499 M Ft||457 m2|1 091 903 Ft / m2|10 + 2 fél|1981 és 2000 között||jó állapotú|gázkazán, padlófűtés||önálló garázs - megvásárolható|ingatlaniroda|30|"Eladásra kínálunk Széchenyi hegyen, jelenleg 457,3nm -es, 4 szintes önálló családi házat 3 állásos garázzsal illetve akár a mellette lévő 300nm telekkel ahol további parkolási lehetőséget tud biztosítani az ingatlanhoz.

Az ingatlanban sok lehetőség rejlik, ingatlan fejlesztőknek ajánljuk.
A tervek megvannak hozzá, 4 lakásos társasház.

Jöjjön el és tegyen ajánlatot!

Jelenlegi műszaki leírás:

Falazat: 30 cm blokktégla fal, 10 cm hőszigetelés, belső tégla falazatok. Födémek, lépcsők: Monolit vasbeton szerkezetek, hangszigetelt aljzatok Nyílászárók: Hőszigetelt redőnyös fa ablakok és toló/nyíló teraszajtók, fa beltéri és biztonsági bejárati ajtók Burkolatok: Nagyelemes márvány és gránit burkolatok padlókon és falakon
Gépészet: Vaillant központi gázkazán, padlófűtés és radiátoros fűtés hely..."|https://ingatlan.com/34507857|457 m2||||||||||||||||||||0.0|0.0|3.5|7.6|0.0|0.0|2.5|0.0|0|0|1|1|0|0|1|0|13.6|0.0|13.6|XII. ker. Hegyvidék prémium|1.35|Krisztinaváros|0.68|enhanced_4step|aggregated_from_1_sources|1|||
124|Budapest XII. kerület, Öröm utca||399 M Ft||410 m2|973 170 Ft / m2||1981 és 2000 között||közepes állapotú|padlófűtés, kandalló, gázkazán||önálló garázs|ingatlaniroda|17|"Öröm itt élni! Természetkedvelőknek! Erdő melletti többgenerációs ikerház fele, nagy kerttel eladó!

HELYSZÍN
XII. Farkasvölgy, a Hóvirág utca egyik kis zsákutcájában, az Öröm utcában található az ingatlan. Pár perc sétára van az 53. busz megállója, így az ingatlan akár autó nélkül is könnyen megközelíthető. Közelben minden megtalálható ami a hétköznapi életvitelhez szükséges.
Kiváló túra és sétautak kiindulóhelye van itt pl. Farkasvölgyi karsztbokorerdő, amelyet 1994-ben nyilvánítottak természetvédelmi területté.

ÉPÜLET
Az 1980-as évek első felében épült. Jelen állapotában is használható, de igényektől függően, felújítást igényel. Előnye a tágas nagy terek, a galériás nappali és a szintenkénti megosztások lehetősége. Az emeleti szint panorámás.
Fűtés, melegvíz: Bosch cirkó – padlófűtés +..."|https://ingatlan.com/34205373|410 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-2.0|0|0|0|0|0|1|0|1|3.2|2.0|1.2|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.76|enhanced_4step|aggregated_from_1_sources|1|||
125|Budapest XII. kerület, Zugliget||2,39 Mrd Ft||600 m2|3 987 700 Ft / m2||1950 előtt||újszerű|gázkazán||teremgarázs hely|ingatlaniroda|22|"CITYCARTEL
INTERNATIONAL LUXURY REAL ESTATE AGENCY
bemutatja:

XII. kerületben, 2.488 m-es telken, 600 nm-es, négyszintes, nappali + 11 szobás, bútorozott, elegáns villa kiadó.
Elrendezése:
Alagsor: garázs 6 autónak, tárolók, kazánház

Földszint: kandallós nappali, étkező, konyha,dolgozó szoba, hall, hálószoba, fürdőszoba, gardróbszoba, télikert
1. emelet: 50 nm-es nappali (szalon), 2 hálószoba, fürdőszoba, gardrób, háztartási helyiség
Tetőtér: amerikai konyhás nappali, 4 szoba, fürdőszoba, külön toalett, háztartási helyiség
A tetőtér modern és klimatizált.

A hatalmas kertben 35 nm-es télikert található üvegházzal, amelynek fürdőszobája is van.
Kiválóan alkalmas Nagykövetség, Cégközpont, Magánklinika részére!
Nagyszerű tömegközlekedés.
Azonnal költözhető.
Ne maradjon le erről a Gyönyörű V..."|https://ingatlan.com/33414769|600 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|XII. ker. Belváros|1.0|Orbánhegy|0.68|enhanced_4step|aggregated_from_2_sources|2|||
127|Budapest XII. kerület, Perem ösvény 13.||30 M Ft||45 m2|666 666 Ft / m2|1 + 1 fél|1950 és 1980 között||felújítandó|nincs||udvari beálló - benne van az árban|ingatlaniroda|12|"Két utcás telken, jó adottságú, felújítandó vagy újjáépítendő ház.

A telek több lépcsős, így a legalsón majd garázs, felette az alsó szint, legfelül pedig a jelenlegi szint lehet.
A ház nem lakható jelenleg. Víz, villany, derítő van, meg lehet rendes internet.

A telek 36/2400-ada a 9062-es hrsz-ú területnek, ami egy óriási telek Csillebércen.
A használati megosztás először kb. 80 éve készült, de 40 éve is volt módosítás.

A magánút, amin megközelíthető az Ibolya ösvény felől, igen meredek, így nem mindenki fog tudni azon fel és le közlekedni (hóban sehogy, akkor Csille tér és 100 méter gyalog).

A hely gyönyörű, de vannak kihívások, ezért ilyen kedvező az ár.

Tudok elég sok ügyvédet, aki elmagyarázza az itteni dolgokat, ha tetszik a terület és a telek, meg a házikó.
Sőt meg is csinálják..."|https://ingatlan.com/33908689|524 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
129|Budapest XII. kerület, Ibolya ösvény||60 M Ft||50 m2|1 200 000 Ft / m2||||felújított|hűtő-fűtő klíma||udvari beálló - benne van az árban|ingatlaniroda|18|"Csillebérc déli oldalán korrekt házikó.

Én egy közelben lakó tulaj vagyok, ezért árulom a tulaj helyett, mert tudom, hogy működnek itt a dolgok.

Egy régebbi építésű ház lett teljesen átépítve az elmúlt években.
Hőszigetelt tégla és fa szerkezetek lettek kialakítva, melyek így együtt dolgozó szerkezetet alkotnak
A régi épület megtartása mellett lettek a falak egyesével és a tető is kicserélve. Erre a módszerre az itteni építésügyi szabályzás miatt volt szükség.

A telek meredek, de teraszos, több része használható, több része nem. Van egy 15 m2-es és egy 10 m2-es terasza az alapterületen felül. Hasznos terület a kocsi parkolója, a kis előkert (20 m2), a hátsó kertben lévő sütögető (25 m2).
Van rendes vezetékes víz, derítőgödör, ami elszivárogtató rendszerű (nem kell szivatni, de lehet), v..."|https://ingatlan.com/34451100|185 m2|B|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Általános|1.0|Ismeretlen|0.0|fallback|none|0|||
130|Budapest XII. kerület, Magasúti lejtő||249 M Ft||180 m2|1 383 333 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán|||ingatlaniroda|22|MAGASÚTI CSALÁDI OTTHON ELADÓ AZ ÖRDÖGOROM PARK SZOMSZÉDSÁGÁBAN Eladásra kínálunk egy 12. kerületi magasúti sorházi 192m2-es családi otthont, 505 m2-es telken. Az épület 1983-ban épült, közművesített téglaépület Részét képezi két 24 m2-es garázs és az udvaron több autó parkolására alkalmas parkolási lehetőség. A ház 2010-ben esett át felújításon és tavaly egészségügyi festésen.Kert:- homokszűrős medence 22m2 (nem füthető)- teraszos kert, termesztéshez alsó kiskert, locsolóvíz- kemence, kerti grill, kerti konyhaÉpület paraméterei:- A lécsőzetes eltolásnak köszönhetően a szuterénszint kertkapcsolattal rendelkezik, ezáltal, egy különálló 30 m2-es garzonlakás, ezen felüli fürdő helység kialakítása is megoldható. - gáz kazán fűtés, padlófűtés- nappali + konyha + étkező és 3 szoba (melyek közül ...|https://ingatlan.com/34916875|505 m2||||||||||||||||||||0.0|0.0|0.0|0.0|2.8|3.2|0.0|0.0|0|0|0|0|1|1|0|0|6.0|0.0|6.0|XII. ker. Általános|1.0|Ismeretlen|0.0|fallback|none|0|||
131|Budapest XII. kerület, Istenhegy||990 M Ft||550 m2|1 800 000 Ft / m2||2001 és 2010 között||jó állapotú|||teremgarázs hely|ingatlaniroda|1|"INGATLAN HELYSZÍNE:
XII. kerület egyik legkeresettebb részén, Istenhegyen található. A környék infrastruktúrája kiváló, közlekedési szempontból is ideális, hiszen tömegközlekedéssel is és gépjárművel is könnyedén megközelíthető. Közelben iskola, óvoda található.

ÉPÜLET JELLEMZŐI:
Az egyik legelegánsabb budai címen található, 1050nm-es telken található, Elvehetetlen PANORÁMÁVAL rendelkező, jó állapotú, 550nm-es, 8 szobával rendelkező ház.

Összefoglalva:
Hatalmas terek, stílusos és elegáns megoldások, a kényelem és a nyugalom egyvelege. Az ember egy olyan otthonba élhet nap, mint nap, ami tökéletesen kielégíti elvárásait, kényezteti érzékeit és maximális biztonsággal megóvja szeretteit.


PARKOLÁS:
4 autó számára garázs."|https://ingatlan.com/34189673|550 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Belváros|1.0|Ismeretlen|0.0|fallback|none|0|||
