id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,ingatlan_allapota,futes,erkely,parkolas,hirdeto_tipus,kepek_szama,leiras,link,telekterulet,energetikai,ingatlanos,telefon,allapot,epulet_szintjei,kilatas,parkolohely_ara,komfort,legkondicionalas,akadalymentesites,furdo_wc,tetoter,pince,parkolo,tajolas,kert,napelem,szigeteles,rezsikoltség
50,"Érd, Érdliget",,114 M Ft,,177 m2,644 067 Ft / m2,,2001 és 2010 között,,jó állapotú,gázkazán,,önálló garázs,ingatlaniroda,14,"Tágas családi ház Érdliget szívében – akár két generációnak is ideális!

Álmod egy nyugodt, mégis kiváló elhelyezkedésű otthonról Érden? Akkor ez az ingatlan neked szól!
Eladó egy remek állapotú, 2000-ben épült, önálló családi ház Érdliget csendes, barátságos lakóövezetében. A ház egy 557 m²-es telken helyezkedik el, és nettó 177 m² hasznos alapterületet kínál – tökéletes akár két generáció együttélésére is!

A földszinten egy hangulatos, tágas átriumos nappali található konyhával, valamint előszoba, hálószoba, külön WC és fürdőszoba. A nappaliból elektromos redőnnyel felszerelt, nagy teraszajtó vezet a kertbe. Az autót sem kell kint hagyni: a garázs egyállásos, elektromos kapuval.

Az emeletre érve lenyűgöző tér fogad: a galériáról belátható a nappali, ahol közel 6 méteres belmagasság ura...",https://ingatlan.com/34820813,557 m2,,,,,,,,,,,,,,,,,,,
51,"Érd, Érdliget",,145 M Ft,,150 m2,966 666 Ft / m2,,,,,"hőszivattyú, padlófűtés, hűtő-fűtő klíma",,,ingatlaniroda,17,"Érdliget egyik legkedveltebb utcájában, 538 m2-es, teljes közművel ellátott, széles utcafrontos telekre épülő, bruttó 155 m2-es, nappali + 3 hálószobás családi ház, dupla garázzsal ELADÓ!

Az új építésű, minden igényt kielégítő családi ház, magas színvonalon, a mai kor igényeinek megfelelően, a korszerű technológiákkal és minőségi anyagokból készül.
A letisztult stílusú otthon, akár több gyermekes család számára is maximális kényelmet nyújt.
A nettó 127 m2 lakótér nagyon kellemes, praktikus elosztású, két lakótérre osztott.
A közös használatú helységektől a jól elszeparált, személyes térben lévő hálószobák biztosítják a nyugalmas pihenést.

A lakótérben: 30 m2-es nappali - konyha - étkező, 3 hálószoba, fürdőszoba - toalettel, és a háztartási helyiség-toalett található. Alul, egy 30 m2-es g...",https://ingatlan.com/34824422,540 m2,A++,,,,,,,,,,,,,,,,,,
52,"Érd, Érdliget",,115 M Ft,,132 m2,871 212 Ft / m2,,1981 és 2000 között,,jó állapotú,"gázkazán, vegyes tüzelésű kazán, hűtő-fűtő klíma",,udvari beálló - benne van az árban,ingatlaniroda,30,"Napfényes, tetőtérbeépítéses családi ház Érden – kiváló közlekedéssel, Budapest közelében!

Eladó egy gondosan karbantartott, folyamatosan megújított, 132 nm-es (nettó) családi ház, 696 nm-es telekkel, dupla kocsibeállóval, melléképületekkel.

Érd egyik csendes utcájában, rendezett szomszédsággal, kiváló tömegközlekedési és autós kapcsolatokkal.

A ház 1981-ben épült, de az elmúlt évek során jelentős felújításokon esett át, így műszakilag és esztétikailag is remek állapotban van.

Helyiségek elosztása:

Földszint – kb. 92 m²:

Előszoba

Nappali

2 külön nyíló szoba

Konyha + tágas kamra

Fürdőszoba (épített zuhannyal)

Külön WC

Tetőtér – nettó kb. 40 m²:

Közlekedő

Konyha

Hálószoba erkéllyel

Fürdőszoba (káddal)

Tároló

Szuterén:

42 m² pince 2 helyiséggel – sokféle tárolási vagy hobbi...",https://ingatlan.com/34852971,696 m2,,,,,,,,,,,,,,,,,,,
53,"Érd, Érdliget",,"179,90 M Ft",,198 m2,908 585 Ft / m2,,2024,,,"hőszivattyú, padlófűtés",,önálló garázs,ingatlaniroda,28,"Érdligeten, a nyugalom szigetén, új építésű 4 hálószobás nettó 198nm-es családi ház eladó. Az ingatlan tágas, napos, jó elosztású és intim, szép környezetben, panorámás kilátással. A házban 4 nagy hálószoba, egy amerikai konyhás , teraszkapcsolatos nappali, (50nm) számos tároló helyiség, két fürdőszoba, 3 WC, egy dupla garázs kapott helyet. Hőszivattyús fűtési rendszer, vizes rendszerű padlófűtéssel.
Választható burkolatok, szaniterek, beltéri ajtók.
Burkolatvalasztás után költözhető!",https://ingatlan.com/34545433,710 m2,A+,,,,,,,,,,,,,,,,,,
54,"Érd, Érdliget",,"139,90 M Ft",,200 m2,699 500 Ft / m2,5 + 1 fél,1981 és 2000 között,,jó állapotú,"gázkazán, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,30,"Csak irodánk kínálatában!

Érdligeten, madárcsicsergős környezetben, kiváló állapotú családi ház, dupla garázzsal, rendezett kerttel ELADÓ.

Elrendezése nagyon praktikus, a földszinti lakrészt 3 külön bejáratról is megközelíthetjük. Az utca front felől egy 6m2-es erkélyen keresztül jutunk be a nappaliba, ház oldalán pedig egy másik bejárat, amely az előszobába vezet, innét a konyhán keresztül egy privát szférájú, fedett teraszra jutunk ki, amely a varázslatos kertel is kapcsolatos, de külön bejáratként is használhatjuk, mivel a ház oldalát körbefogja az előszobai bejáratig.

Földszinten található egy tágas 24m2-es nappali, 12 m2 közlekedő, egy nagyon praktikus, tolójatós 9m2-es gardrób, 2 szoba(16m2 és 9m2)plusz egy 5m2-es félszoba, amely jelenleg bár szobaként van kialakitva, továbbá kony...",https://ingatlan.com/34709892,652 m2,,,,,,,,,,,,,,,,,,,
55,"Érd, Érdliget",,"52,90 M Ft",,100 m2,529 000 Ft / m2,,1950 és 1980 között,,közepes állapotú,elektromos fűtőpanel,,,ingatlaniroda,12,"Érd Ligeten eladó! Aszfaltozott utcában. 100 nm es 2 szoba ,nappali , konyha , étkezős különálló iker ház 400 nm es saját telekkel,teraszokkal. A közelben található vasút és buszmegálló kiváló közlekedési kapcsolatokat biztosítanak, lehetővé téve a gyors és egyszerű eljutást a város bármely pontjára. Ezen felül a környék gazdag szolgáltatásokban és szabadidős tevékenységekben, így sosem lesz gond a bevásárlással vagy a szórakozással. Érdemes megtekintenie! ÁR:52.9M",https://ingatlan.com/34789205,400 m2,,,,,,,,,,,,,,,,,,,
56,"Érd, Érdliget",,"47,90 M Ft",,64 m2,748 437 Ft / m2,,1950 és 1980 között,,közepes állapotú,gáz (konvektor),,udvari beálló,ingatlaniroda,16,"Eladó 2 szobás családi ház Érdligeten, kis méretű telekkel!

A Rekreációs park közelében helyezkedik el
Egy szintes, 64 m²-es, önálló téglaépítésű ház, cserépfedésű tetővel
Helyiségei: 2 szoba, konyha étkezővel, fürdőszoba, előszoba, folyosó és egy kis terasz

Átlagos állapotban van, azonnal költözhető, alacsony fenntartási költségekkel
Saroktelken található, a telek mérete 412 m²
Gázkonvektoros fűtés, kandallóval mint alternatív fűtési lehetőséggel
Két nagyobb méretű tároló is rendelkezésre áll
Fa nyílászárók redőnnyel ellátva
Éjszakai áram is be van vezetve
A telken belül 1-2 autó számára van beállási lehetőség, illetve a ház előtt is biztosított a parkolás
Előnyben részesítjük a készpénzes érdeklődőket
A tulajdonosok nyitottak, rugalmasak
A környék barátságos, kedves szomszédokkal

KIVÁ...",https://ingatlan.com/34823138,412 m2,,,,,,,,,,,,,,,,,,,
57,"Érd, Érdliget",,216 M Ft,,310 m2,696 774 Ft / m2,,2001 és 2010 között,,felújított,"gázkazán, vegyes tüzelésű kazán",,teremgarázs hely,ingatlaniroda,24,"Egy különleges, igazán egyedi otthonra vágyik? Megtalálta! Óriási terek, elegancia, luxus jellemzi ezt a fantasztikus hangulatú 2002-ben épült, minden igényt kielégítő otthont! A ház Érd elit részén található, ahol a szomszédos házak távol helyezkednek el egymástól, ahol természetközeli a környezet, csend van és nyugalom, az utcák aszfaltozottak és kiváló az infrastruktúra is! A Szép Házak című folyóiratban is megjelent ház magas minőségű anyagokból épült, de tulajdonosai azóta is nagy gondot fordítanak az állagmegóvásra, valamint a folyamatos korszerűsítésekre. A lakóterülete 230 m2, ezen felül tartozik hozzá egy 130 m2-es félszuterén, ahol helyet kapott a kétállásos garázs is! Mindezt egy 2266 nm területű, gyönyörűen ápolt, parkosított birtok veszi körül.
A nappaliban található gyönyörű ...",https://ingatlan.com/34712496,310 m2,,,,,,,,,,,,,,,,,,,
58,"Érd, Érdliget",,"79,90 M Ft",,130 m2,614 615 Ft / m2,,1981 és 2000 között,,felújítandó,"gázkazán, vegyes tüzelésű kazán",,önálló garázs - benne van az árban,ingatlaniroda,18,"ELADÓ CSALÁDI HÁZ SAROKTELKEN ÉRDLIGETEN!

Tökéletes választás mindazok számára, akik KERTVÁROSI KÖRNYEZETBEN, kiváló ELÉRHETŐSÉGGEL rendelkező otthont keresnek! Ebben a rendezett és kulturált lakókörnyezetben egy belső kétszintes, 130 nm-es, összközműves CSALÁDI HÁZ várja új tulajdonosát. A 642 négyzetméteres telken elhelyezkedő ingatlan remek lehetőségeket rejt magában.

Az ingatlan földszintje összesen 88 négyzetméternyi lakóteret biztosít. Itt található a TÁGAS nappali (18,4 nm), egy KÉNYELMES méretű hálószoba (15,5 nm), valamint egy világos, ablakos konyha (8 nm), Ideális méretű társalgó/hall (14 nm) szintén ezen a szinten helyezkedik el. Emellett a földszinten fürdőszoba(5,5 nm) és külön wc is kialakításra került, megkönnyítve a mindennapokat.

Az EMELET – a beépített tetőtér – közel...",https://ingatlan.com/34615171,642 m2,,,,,,,,,,,,,,,,,,,
59,"Érd, Érdliget",,114 M Ft,,176 m2,647 727 Ft / m2,,2001 és 2010 között,,jó állapotú,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,14,"Eladó családi ház Érden, az Érdliget csendes övezetében!

Egy kiváló állapotú, 2000-ben épült, önálló családi házat kínálunk eladásra Érd Érdliget részén, egy csendes, családi házas környezetben. Az ingatlan egy 557 m²-es telken fekszik, és 177 m²-es nettó hasznos alapterülettel büszkélkedhet.

A földszinten egy tágas, hangulatos, átriumos nappali található konyhával, egy előszoba, egy hálószoba, egy wc és egy fürdőszoba. A nappalihoz tartozik egy nagy teraszajtó, amely elektromos redőnnyel van felszerelve. A garázs egy autónak ad helyet, elektromos ajtóval ellátva.

Az emeleten egy galéria található, ahonnan letekintve a nappalira, körülbelül 6 méteres belmagassággal. Itt továbbá egy másik tágas nappali konyhával, három hálószoba és egy fürdőszoba helyezkedik el. Az emeleti melegvíz-ellát...",https://ingatlan.com/34317856,557 m2,,,,,,,,,,,,,,,,,,,
60,"Érd, Érdliget",,145 M Ft,,150 m2,966 666 Ft / m2,,2025,,,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,9,"ÉRDLIGET LEGSZEBB RÉSZÉN, PANORÁMÁS TELKEN, ÚJÉPÍTÉSŰ CSALÁDI HÁZ ELADÓ!
Kiváló lokáció, magas szintű kivitelezés!

Érdligeten, csendes, aszfaltozott utcában, igényes házak környezetében eladó egy újépítésű, 150m2-es, nappali + 3 hálószobás, garázsos, fedett teraszos, önálló családi ház.

A projekt nyár végén indul, várható átadás 2025. év vége. A házhoz tartozó telek területe 538m2, önálló helyrajzi számon.

A családi ház falazata 30-as Porotherm tégla lesz, 15 cm-es EPS szigeteléssel, a műanyag nyílászárók 3 rétegű, 6 légkamrás üvegezéssel lesznek ellátva. Modern, hőszivattyús fűtésrendszer, padlófűtéssel, a tetőn cserépfedés kerül megvalósításra. ""H"" tarifa előkészítéssel, 3,5 KW klímával kerül a ház átadásra. Egyéb extraként a bádog nemcsak a hagyományos horgonyzott színben, hanem a cs...",https://ingatlan.com/34825157,538 m2,,,,,,,,,,,,,,,,,,,
61,"Érd, Beléndek utca",,"139,90 M Ft",,157 m2,891 082 Ft / m2,4 + 1 fél,,,,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,25,"KÉT GYÖNYÖRŰ, PANORÁMÁS ÚJ ÉPÍTÉSŰ IKERLAKÁS ELADÓ ÉRDLIGET CSENDES UTCÁJÁBAN, SAJÁT TELEKKEL

90%-OS KÉSZÜLTSÉG, ÁTADÁS ADÁSVÉTELTŐL SZÁMÍTOTT EGY HÓNAP!

Érdliget csendes mellékutcájában kínálunk megvételre egy igényes kivitelezésű, ALACSONY REZSIJŰ, PANORÁMÁS, HŐSZIVATTYÚS, DUPLAGARÁZSOS, bruttó 210 nm-es (nettó 157 nm), nappali + 4 szobás, tágas amerikai konyhás, ÚJ ÉPÍTÉSŰ ikerházi lakást, a hozzá tartozó 637 nm-es telekkel.

Műszaki tartalom:
•Az alapban C16-os mixerbeton, a koszorúban és födémben C20-as mixerbeton. Aljzatbeton ESTRICH.
•Falazat: 30-as Porotherm tégla. Kívülről 15 cm-es DRYVIT. Felül 25 cm-es kőzetgyapot szigetelés. A válaszfal 10-es válaszfaltégla. Falak kétszer glettelve, fehér színre festve.
•Tető: 1. osztályú impregnált faanyag, antracit betoncserép.
•Nyílászárók...",https://ingatlan.com/34687528,637 m2,,,,,,,,,,,,,,,,,,,
62,"Érd, Érdliget",,216 M Ft,,310 m2,696 774 Ft / m2,,2001 és 2010 között,,újszerű,"gázkazán, padlófűtés",,önálló garázs,ingatlaniroda,27,"Egy különleges, igazán egyedi otthonra vágyik? Megtalálta! Óriási terek, elegancia, luxus jellemzi ezt a fantasztikus hangulatú 2002-ben épült, minden igényt kielégítő otthont! A ház Érd elit részén található, ahol a szomszédos házak távol helyezkednek el egymástól, ahol természetközeli a környezet, csend van és nyugalom, az utcák aszfaltozottak és kiváló az infrastruktúra is! A Szép Házak című folyóiratban is megjelent ház magas minőségű anyagokból épült, de tulajdonosai azóta is nagy gondot fordítanak az állagmegóvásra, valamint a folyamatos korszerűsítésekre. A lakóterülete 230 m2, ezen felül tartozik hozzá egy 130 m2-es félszuterén, ahol helyet kapott a kétállásos garázs is! Mindezt egy 2266 nm területű, gyönyörűen ápolt, parkosított birtok veszi körül.
A nappaliban található gyönyörű ...",https://ingatlan.com/34794178,310 m2,,,,,,,,,,,,,,,,,,,
63,"Érd, Érdliget",,"99,90 M Ft",,290 m2,344 482 Ft / m2,,2024,,,"hőszivattyú, padlófűtés, hűtő-fűtő klíma",,önálló garázs,ingatlaniroda,30,"ÉRDLIGETEN EGY RENDKÍVÜLI ADOTTSÁGÚ, RITKA SZÉP PANORÁMÁS, TÖBB GENERÁCIÓS CSALÁDI HÁZ ELADÓ!
AKIK MÉG SZERETNÉK MEGÉPÍTENI AZ ÁLOMHÁZUKAT, AZOKNAK EZ A PROJEKT REMEK LEHETŐSÉG.
AKÁR BEFEKTETŐKNEK IS AJÁNLOTT.

A környezet.
Csendes és aszfaltozott utca. Teljes közműves telek, fás, és zöld környezet, könnyű közlekedéssel a főút 2 percre kocsival, de a buszjárat is könnyen elérhető távolságra van.

Az épület:
Terveket a jelenlegi tulajdonos egy neves építésszel közösen tervezte.
De ettől el lehet térni még saját igényeknek megfelelően.
A ház fotói a jelenlegi állapotot is mutatja. Nagyon ritka az a kialakítás és panoráma ami több helységből is látható nem csak a nappaliból.
Alapvetően itt csak a telek értéke 45 millió Ft átlagosan.
A ház jelenleg szerkezetkész állapot előtt tart. Minden rész...",https://ingatlan.com/34197855,290 m2,,,,,,,,,,,,,,,,,,,
64,"Érd, Érdliget",,"129,50 M Ft",,157 m2,824 840 Ft / m2,,2001 és 2010 között,,felújított,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,15,"Érd ""Rózsadombján"", Érdligeten kínálunk megvételre egy 157 nm-es 3 szintes, kiváló állapotú, örök körpanorámás családi házat.

A ház csendes, nyugodt utcában, igényes luxusingatlanok szomszédságában található.

A 660 nm-es telek szinte sík, de mivel a dombtetőn helyezkedik el, csodás örök körpanoráma tárul elénk Budapestre és a környező településekre, melyet majd minden helyiségből élvezhetünk.

Az ingatlan 2006-ban épült újjá 30-as téglából, 8 cm-es szigeteléssel.

Az 5 szobás családi ház remek elosztással rendelkezik.
A szuterén szinten kazánház, mosókonyha és egy szabadidő szoba található.
A földszinten nappali, 1 szoba, konyha, spejz, kádas fürdőszoba Wc-vel kapott helyet.
A legfelső szinten 3 szoba van, melyek mind különnyílóak, közülük a legnagyobb egy 25 nm-es, csodálatos körpanorám...",https://ingatlan.com/34668306,660 m2,,,,,,,,,,,,,,,,,,,
65,"Érd, Buxus utca",,"129,90 M Ft",,224 m2,579 910 Ft / m2,4 + 2 fél,2001 és 2010 között,,jó állapotú,"gázkazán, hűtő-fűtő klíma, kályha",,önálló garázs - benne van az árban,ingatlaniroda,27,"Mielőtt tovább olvas kérem tekintse meg az ingatlanhoz tartozó virtuális túrát és videót!

Eladó Érd egyik közkedvelt részén Érdligeten egy bruttó 250 nm-es 3 szintes 4+2 félszobás családi ház. Az összközműves 1205 nm-es telken két családi ház is található használati megosztással elszeparálva, ami a jogutódokra is kihat ezáltal a bankok teljes mértékben meghitelezik a vásárlást. A térképvázlaton eladó házként jelölt A+ -os energetikai besorolású ingatlan 2004-ben épült 38 cm vastag porotherm téglából. A szintek között betonfödém található. A 3 rétegű műanyag nyílászárók, hang és hőszigetelő hatásúak, az alsó szinten redőnnyel és szúnyoghálóval vannak ellátva. Köszönhetően a zsindelytetőre újonnan felszerelt napelemeknek az áram felhasználás költsége nullázódott és még 10 évig szaldós elszá...",https://ingatlan.com/34504961,224 m2,A+,,,,,,,,,,,,,,,,,,
66,"Érd, Érdliget",,"139,90 M Ft",,190 m2,736 315 Ft / m2,,2001 és 2010 között,,felújított,"gázkazán, hűtő-fűtő klíma, kandalló",,udvari beálló - benne van az árban,ingatlaniroda,30,"ÁRZUHANÁS! HIHETETLEN ÁR-ÉRTÉK ARÁNY!

ÉRD ÉS DIÓSDLIGET HATÁRÁN ELADÓ EGY MINDEN FÖLDI JÓVAL FELSZERELT 5 SZOBÁS, PANORÁMÁS CSALÁDI HÁZ, ELLENÁRAMOLTATÓS MEDENCÉVEL, SZAUNÁVAL, VÍZESÉSSEL, KERTI SZALETLIVEL, HATALMAS TERASZOKKAL, kinti konyhával és sütögetővel 1250 m2-es GYÖNYÖRŰ ZÖLD KÖRNYEZETBEN!

Családi összejöveteleket és társaságot kedvelőknek igazi kánaán!

A ház 1996-ben épült, szigetelt. 2014-ben felújították, akkor épült az ellenáramoltatós medence, szauna, kerti szaletli. Az épületet modernizálták. Központi fűtéses (vízteres) kandalló, alternatív megoldásként betápláló napelemes rendszer (folyamatban) és inverteres hűtő-fűtő klima is segíti az energiatakarékos megoldásokat.

AZONNAL KÖLTÖZHETŐ!

További információk:",https://ingatlan.com/33222328,1250 m2,,,,,,,,,,,,,,,,,,,
67,"Érd, Érdliget",,"139,90 M Ft",,184 m2,760 326 Ft / m2,,2025,,,"hőszivattyú, padlófűtés",,teremgarázs hely - benne van az árban,ingatlaniroda,19,"Hivatkozzon erre, kód: 3873KE

- ÚJ ÉPÍTÉS

- SAJÁT UTCAFRONTI BEJÁRAT

- PANORÁMA

- NAPPALI + 4 SZOBA + DUPLA GARÁZS

- HŐSZIVATTYÚ PADLÓFŰTÉSSEL

AZ ÁR LAKÁSONKÉNT ÉRTENDŐ!

Megbízható kivitelező, számos referencia ingatlan megtekinthető!

Érdliget kedvelt részén, természet közeli környezetben, 637nm2-es összközműves telken, saját utcafronti bejárattal rendelkező új építésű, belső kétszintes + garázs szint, nappali + 4 szobás, dupla garázsos, összesen nettó 157.39nm-es (+ 53.28nm teraszok) ikerházi lakások eladók, igény szerinti befejezéssel!

Még az ikerház mindkét oldala elérhető!

Felosztásuk a következőképpen alakul:

Utcaszinten: garázs (35.16nm).

Földszinten: fedett előtér (1.70nm), előtér (4.62nm), mosdó-wc (2.10nm), konyha-étkező (16.60nm), nappali (27.45nm), szoba (12nm) teras...",https://ingatlan.com/32717512,637 m2,,,,,,,,,,,,,,,,,,,
68,"Érd, Csaba utca 13.",,"91,80 M Ft",,245 m2,374 693 Ft / m2,5 + 1 fél,1950 és 1980 között,,közepes állapotú,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,7,"Érdliget, Csaba utcában közvetlenül tulajdonostól eladó családi ház.

Az ingatlan hasznos alapterülete 193m2, melyet három szint alkot. A földszinti részen került kialakításra a garázs, tárolóhelyiség, kazánház valamint egy szoba. Az emeleten konyha, kamra, fürdőszoba, Wc és három szoba található. A beépített tetőtérben plusz egy konyha, fürdőszoba, Wc és további két szoba kapott helyet. Fűtése és meleg víz ellátása gázkazánnal megoldott, radiátorokkal. Nyílászárói fa szerkezetű ablakok és ajtók.

Kellemes, családi házas környezetben helyezkedik el, autóval és tömegközlekedéssel egyaránt könnyű megközelíteni. A legközelebbi buszmegálló mindössze 70 m-re található. Bevásárlási lehetőség, kereskedelmi és szolgáltató egységek, közintézmények szintén karnyújtásnyira elérhetők.

Kérdéseivel, me...",https://ingatlan.com/33673594,245 m2,,,,,,,,,,,,,,,,,,,
69,"Érd, Érdliget",,99 M Ft,,220 m2,450 000 Ft / m2,,,,befejezetlen,,,önálló garázs,ingatlaniroda,22,"Külvárosi nyugalom, polgári kényelem, nyaralás helyben!

Érd Parkvárosának egyik átmenő forgalomtól mentes utcájában egy olyan ideális élettér kerül kialakításra, amely méretéből adódóan egy nagyobb család együttéléséhez, vagy akár a két lakrész különválasztásával két generáció összeköltözéséhez is megfelelő.

A ház építés, a kert rendezés alatt áll!

Az alsó szint lakható, nagy nappali, konyha, két háló, nagy fürdő, teraszok.
A felső szint teljes egészében kialakításra vár. A feljárat az emeletre még megoldható akár belső, akár külső megközelítéssel is, így a fenti lakrész külön-bejáratúvá is tehető.

Kialakításra vár két szint, két lakótér, összesen 6 szoba, 2 fürdő, 1+1 konyha, teraszok.

Sőt!
A 800 m2-es telek elrendezése szerencsés, kihasználhatósága remek, nyaralóként is tökéletes! A...",https://ingatlan.com/34739352,220 m2,,,,,,,,,,,,,,,,,,,
70,"Érd, Érdliget",,"127,90 M Ft",,257 m2,497 665 Ft / m2,,1981 és 2000 között,,jó állapotú,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,27,"Az AVENT INGATLAN kínálatában - Érdligeten eladó családi ház!

Érdliget és Postástelep határán, aszfaltozott úton eladó ez a jó állapotban lévő, akár több generáció számára is ideális otthon!

A ház földszintjén tágas konyha-étkező-nappali található egy légteret alkotva, továbbá kamra, fürdőszoba, WC, terasz.
Az emeleten nappali, 3 hálószoba, fürdőszoba, WC kapott helyet.
A szuterén szinten 75 m2-es helyiség lett kialakítva, mely tökéletes tere lehet irodának, raktárnak vagy akár hobbi szobának is.

A parkosított kertben öntözőrendszer, borospince, kiépített grillező található.

További extrák:
* riasztó
* elektromos vezérlésű kapu és garázsajtó
* fúrt kút

Parkolásra 1 állásos garázs szolgál, további autó beállási lehetőség telken belül lehetséges.

Az ingatlan övezeti besorolásának köszö...",https://ingatlan.com/33197430,257 m2,,,,,,,,,,,,,,,,,,,
71,"Érd, Érdliget",,499 M Ft,,600 m2,831 666 Ft / m2,,2017,,újszerű,"gázkazán, mennyezeti hűtés-fűtés, padlófűtés",,teremgarázs hely - benne van az árban,ingatlaniroda,30,"Hivatkozzon erre, kód: 4789

ÉRDLIGETEN ELADÓ EGY LENYŰGÖZŐ, EGYEDI MEGOLDÁSOKKAL ELLÁTOTT ÖRÖK PANORÁMÁS, KÖZEL 600M2 ALAPTERÜLETTEL RENDELKEZŐ CSALÁDI HÁZ, TÖBB MINT 1000M2-ES PARKOSÍTOTT TELKEN, AMELY A MODERN IGÉNYEKET ÉS AZ ELEGANCIÁT ÖTVÖZI!

Elhelyezkedés: A családi ház Érd-Liget és Diósd határán, a város egyik kivételesen nyugodt és kedvelt részén található, így az itt élők élvezhetik a főváros közelségét anélkül, hogy lemondanának a csendről és a természetről. Ez az ingatlan nem csupán egy lakóhely, hanem egy életstílus, amit azoknak ajánlunk, akik a mindennapjaikban is a kényelmet és az eleganciát keresik. Az otthon melegét, az építészet finomságát és a modern technológia adta lehetőségeket egyaránt megtalálja itt.

Felosztás: A 4 szintes épületben helyet kapott egy nagy, tágas n...",https://ingatlan.com/34467983,600 m2,,,,,,,,,,,,,,,,,,,
72,"Érd, Érdliget",,125 M Ft,,150 m2,833 333 Ft / m2,5 + 1 fél,1950 és 1980 között,,felújított,gázkazán,,udvari beálló - benne van az árban,ingatlaniroda,13,"Eladó a képeken látható kétszintes, 2 generációs (külön bejáratú), jó állapotú, 1976-ben épült, 2019-ben felújított családi ház Érdligeten.

Az ingatlan az alábbi helyiségekből áll:
Földszint (85 m2): nappali, hálószoba, fürdőszoba, konyha
Emelet (65 m2): nappali, 2 hálószoba, fürdőszoba, szeparált konyha, vendég mosdó, 8 m2-es erkély.

Az ingatlanban korszerű gázkazán biztosítja a fűtést, de egy vegyes-tüzelésű kazán is rendelkezésre áll, a hűtéshez pedig légkondicionáló. Felújításkor a régi ablakok helyére műanyag nyílászárók kerültek, illetve az épület 8 cm szigetelést is kapott. A falak B-30-as téglából épültek, betongerendás tetőszerkezettel.

Közlekedés kitűnő, óvoda, boltok a közelben.
Fedett gépkocsibeálló két jármű számára biztosított.

Egyéb információkkal és megtekintéssel kapcs...",https://ingatlan.com/34576841,663 m2,,,,,,,,,,,,,,,,,,,
73,"Érd, Érdliget",,"139,90 M Ft",,397 m2,352 392 Ft / m2,,1981 és 2000 között,,jó állapotú,gázkazán,,önálló garázs,ingatlaniroda,29,"NAGYRAVÁGYÓKNAK!
ÉRDLIGETEN, KERESETT RÉSZEN ELADÓ KÖZEL 500 M2-ES HÁZ 1977 M2 TELEKTERÜLETTEL !

Rendezett környék, szép házak környezetében , aszfaltos utcában található.Az ingatlan 1995-ben épült saját célra, azóta is a család tulajdonában van, Az épületet jelenleg 3 külön lakásként használják. Földszinten 2 lakás lett kialakítva külön bejárással, 1 lakás pedig az emeleten. Amennyiben befektetésen gondolkodik nagyon jó lehetőség kiadás szempontjából a 3 lakás, illetve a telek adottságai miatt a hátsó telek rész külön értékesíthető vagy építhető rá külön ingatlan.
Könnyedén visszaalakítható, hogy újra 1 házként funkcionáljon.
Az ingatlan felújítandó, korszerűsítésre, modernizálásra van szüksége, viszont saját ízlése és igénye szerint teheti ezt és ez által egy tökéletes luxus otthont tud...",https://ingatlan.com/34221737,397 m2,,,,,,,,,,,,,,,,,,,
74,"Érd, Nyárád utca",,"64,90 M Ft",,110 m2,590 000 Ft / m2,,1950 és 1980 között,,közepes állapotú,"gázkazán, cserépkályha",,,ingatlaniroda,26,"EGYSZINTES, 3 SZOBÁS CSALÁDI HÁZ ÉRDLIGETEN ELADÓ!!!

Érdliget kedvelt részén, karnyújtásnyira a Papi földek szabadidőpark mellett kínálunk eladásra egy 768 nm-es összközműves telken lévő, egyszintes családi házat.

A ház 1972-ben téglából épült, nettó 90 nm alapterületű, mely 3 szoba, konyha, étkező, fürdőszoba (wc-vel), előszoba, kamra és 2 közlekedő helyiségekből áll, továbbá két fedett terasz is kialakításra került (25 és 7 nm).

Az ingatlanban a meleg ellátásáról gáz cirkó rendszer és egy hangulatos cserépkályha gondoskodik.

A közeli Szabadidőpark ideális lehetőséget biztosít a pihenésre és a szabadidős tevékenységekre, így a ház tökéletes választás lehet családok számára, vagy azok számára, akik szeretik a természet közelségét és a kiemelkedő szabadidős lehetőségeket.

További infor...",https://ingatlan.com/34738794,768 m2,,,,,,,,,,,,,,,,,,,
